|novel|brut_sum|brut_type|Total Words|Percentage|field
144|Tochter des Gefangenen   Hexen Trilogie 1 |392|47|55298|0.7088863973380592|aben_full
145|Tracy Marric|114|27|17432|0.6539697108765489|aben_full
146|Trampen nach L A |64|19|9436|0.6782534972445952|aben_full
147|Traumpfad|87|25|16701|0.5209268906053529|aben_full
148|Triton Neptun Scott und der Apfel des Glücks|91|24|27134|0.33537259526792956|aben_full
149|Turn back the clock  Staffel 1 |59|23|12202|0.48352729060809707|aben_full
150|Wanted   Das Spiel beginnt|123|31|18636|0.6600128783000644|aben_full
151|Warm  kalt und alles dazwischen |56|19|13648|0.4103165298944901|aben_full
152|Wave Crown|198|34|16576|1.1944980694980696|aben_full
153|Wecke nicht die Toten  Band 1|277|35|45846|0.6041966583780483|aben_full
154|Wecke nicht die Toten  Band 2|76|22|15540|0.4890604890604891|aben_full
155|Wir und unsere Leichen|166|35|16453|1.0089345408132255|aben_full
156|Wohin der Wind auch weht   Meharos Zauber|135|32|27043|0.49920496986281104|aben_full
157|Wunder geschehen|43|18|10815|0.3975959315765141|aben_full
158|Yuus unglaubliche Abenteuer_0|628|56|99701|0.6298833512201483|aben_full
159|Yuus unglaubliche Abenteuer_1|259|43|43532|0.5949646237250759|aben_full
160|Zeitsplitter in Bronze|134|29|27055|0.49528737756422103|aben_full
161|Zwischen Himmel und Erde|385|43|59843|0.6433500994268335|aben_full
162|Zwischen allen Welten|124|32|15244|0.8134347940173182|aben_full
163| EXIT |47|20|12215|0.38477282030290627|aben_full
164| Game Over |111|25|20050|0.5536159600997507|aben_full
165| Leseprobe   Die Zeitagentin|108|27|13678|0.7895891212165521|aben_full
166| Leseprobe   Sehnsucht nach Freiheit|105|27|15282|0.6870828425598744|aben_full
167| Trigger and Suggestion |208|40|34694|0.5995272957860149|aben_full
168|Alles und Nichts|126|34|17243|0.7307313112567418|aben_full
169|Chroniken der Stämme Spotlight  Licht und Schatten  Teil 2 |82|32|10019|0.818444954586286|aben_full
170|Das Leben ist kein Ponyhof   Das Geheimnis von Whitehorse Castle  MMFF Anmeldung geschlossen _0|349|49|98401|0.35467119236593125|aben_full
171|Das Leben ist kein Ponyhof   Das Geheimnis von Whitehorse Castle  MMFF Anmeldung geschlossen _1|333|48|90226|0.369073216146122|aben_full
172|Der Weg des Herzens|68|23|10932|0.6220270764727406|aben_full
173|Die Arena der Adler|120|27|13863|0.8656135035706556|aben_full
174|Die Fahrt auf der Fetten Witwe   Testament eines Meisterdiebes|128|39|23332|0.5486027773015602|aben_full
175|Die Lagune unter der Treppe|152|26|25276|0.6013609748377908|aben_full
176|Die Wolfsprinzessin|318|37|51789|0.6140300063720094|aben_full
177|Ein Held oder Monster |308|48|43077|0.7149987232165657|aben_full
178|Entscheide dich  Krieg oder Liebe 2    Drittes Reich x Sowjet Union   Countryhumans|91|25|23372|0.3893547835016259|aben_full
179|Erwachen   Die Welt nach dem Ende|179|42|31404|0.5699910839383519|aben_full
180|Freunde durch dick und dünn|119|28|58281|0.20418318148281603|aben_full
181|Glück auf beim Erkunden|45|8|12536|0.3589661774090619|aben_full
182|Gone   trotz aller Erwartungen überlebt und das noch immer jeden einzelnen Tag|72|22|10568|0.6813020439061317|aben_full
183|Guerreira   Licht und Schatten|93|27|12968|0.7171499074645281|aben_full
184|Hunua Falls|368|47|57286|0.6423908110183989|aben_full
185|In Verdammnis und Leidenschaft|86|23|11062|0.7774362683059122|aben_full
186|Mailands Mörder|150|26|21032|0.7131989349562572|aben_full
187|Nika und Ben s Zeitreisen|141|19|10266|1.3734658094681473|aben_full
188|Nymeria|134|29|20774|0.6450370655627227|aben_full
189|On the Horizon under the Black Flag|89|25|12313|0.7228132867700804|aben_full
190|Rhyddien|335|39|46595|0.7189612619379762|aben_full
191|Roter Teufel|397|47|47703|0.8322327736201076|aben_full
192|Samurai Rebel|716|63|72934|0.9817094907724793|aben_full
193|Schlimmer geht s Nimmer|65|29|19636|0.3310246486046038|aben_full
194|Ships  Die Bibliotheken Saga  03 |411|33|39009|1.053603014688918|aben_full
195|Ships  Die Bürgermeister Edward Saga  02 |321|30|36115|0.8888273570538557|aben_full
196|Ships  Die Piraten Rick Saga  01 |413|30|34830|1.1857594028136664|aben_full
197|Steinzeit   Rosen|22|12|11507|0.19118797253845485|aben_full
198|The Flower of Death|61|26|10677|0.5713215322656177|aben_full
199|Titel ist noch in Arbeit |384|35|22379|1.7158943652531389|aben_full
200|Underground  London|131|33|11012|1.1896113330911733|aben_full
201|Veneris und der kleine Stier|100|20|16735|0.5975500448162534|aben_full
202|Venom|136|35|22703|0.5990397744791437|aben_full
203|Waldemar im amerikanischen Supermarkt|152|37|27613|0.5504653605185963|aben_full
204|Zwischen den Welten   Der magische Fluss|66|19|15564|0.4240555127216654|aben_full
0|Blutsfeder|286|35|43079|0.6638965621300402|krimi_full
1|Crossed Arrows  Verschränkte Pfeile|273|38|36349|0.7510522985501664|krimi_full
